Bracket Type=4,
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,230706_01,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B9,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,Blank_MeOH
Unknown,230706_02,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_03,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_04,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_05,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_06,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_07,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_08,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_09,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_10,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_11,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_12,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_13,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:C2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS32
Unknown,230706_14,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B2,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,USGS35
Unknown,230706_15,R:A1,C:\Xcalibur\data\2023\Nitrate_FlowInjection\FlowInjection_Sequence_USGS32vs35\data,C:\Xcalibur\methods\VanquishNeo\Nitrate\Nitrate_FlowInjection_ExampleMethod,,,B:B9,25,,0,0,0,1,Procedure_2_Nitrate,,,,,KH2PO4,Blank_MeOH
