#Compound	Isotopolog	mass	Tolerance [mmu]	z
Ala_imm	M0	44.0494	0.3	1
Ala_imm	15N	45.0464	0.3	1
Ala_imm	13C	45.0527	0.3	1
Ala_imm	2H	45.0557	0.3	1
Arg_imm	M0	70.065	0.3	1
Arg_imm	15N	71.0621	0.3	1
Arg_imm	13C	71.0684	0.3	1
Arg_imm	2H	71.0713	0.3	1
Met_imm	M0	104.0527	0.3	1
Met_imm	15N	105.0497	0.3	1
Met_imm	33S	105.0521	0.3	1
Met_imm	13C	105.056	0.3	1
Met_imm	2H	105.0589	0.3	1
Met_imm	34S	106.0485	0.3	1
Phe_imm	M0	120.0805	0.3	1
Phe_imm	15N	121.0776	0.3	1
Phe_imm	13C	121.0839	0.3	1
Phe_imm	2H	121.0866	0.3	1
